,Ride Count
2014-04-07,18850.14285714286
2014-04-14,16635.428571428572
2014-04-21,16598.0
2014-04-28,20120.714285714286
2014-05-05,22958.14285714286
2014-05-12,21430.0
2014-05-19,22518.14285714286
2014-05-26,19047.0
2014-06-02,20474.0
2014-06-09,22634.428571428572
2014-06-16,23036.714285714286
2014-06-23,21902.285714285714
2014-06-30,22480.0
2014-07-07,17723.714285714286
2014-07-14,26748.714285714286
2014-07-21,27648.285714285714
2014-07-28,28486.571428571428
2014-08-04,28714.14285714286
2014-08-11,27323.0
2014-08-18,26894.85714285714
2014-08-25,26547.285714285714
2014-09-01,24964.428571428572
2014-09-08,34736.42857142857
2014-09-15,35318.57142857143
2014-09-22,35530.0
2014-09-29,33664.142857142855
2014-10-06,33431.0
