Lat,Lon,Name,Borough,Ride.Count
40.6489,-73.7841,JFK BUILDING 245C,4.0,93628
40.7745,-73.8728,LAGUARDIA AIRPORT TERMINAL B,4.0,50455
40.7706,-73.8648,LGA - US AIRWAYS TERMINAL,4.0,40466
40.6434,-74.072,SI FERRY TRML PEDESTRIAN,5.0,39370
40.7166,-73.9614,RADEGAST HALL & BIERGARTEN,3.0,18748
40.7383,-74.0093,JANE HOTEL,1.0,16898
40.6973,-73.9318,FREEDOM TRIANGLE,3.0,15295
40.7407,-74.0079,THE STANDARD HOTEL HIGH LINE,1.0,15118
40.7543,-73.7074,KATZ WOMENS HOSPITAL AT LONG ISLAND JEWISH MEDICAL CENTER,4.0,14972
40.7209,-73.9556,MCCARREN HOTEL & POOL,3.0,13922
40.7391,-74.0049,CORPORAL JOHN A SERAVALLI PLAYGROUND,1.0,13727
40.6685,-73.9791,METHODIST HOSPITAL WESLEY HOUSE,3.0,13233
40.742,-73.9922,MANHATTAN VILLAGE ACADEMY HIGH SCHOOL,1.0,12984
40.725,-73.9991,APPLE STORE SOHO,1.0,12024
40.751,-73.9949,PENN STATION WEST END CONCOURSE,1.0,11990
40.7238,-73.9979,MUSEUM OF ICE CREAM,1.0,11757
40.7477,-74.0101,CHELSEA PIERS SKY RINK,1.0,11358
40.745,-73.9909,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,1.0,11322
40.7235,-74.0083,HUNTER COLLEGE MFA BUILDING,1.0,11276
40.7211,-73.9996,ANNE FRANK CENTER USA,1.0,11022
40.6824,-74.0059,HUGH L CAREY TUNNEL VENTILATION BUILDING,3.0,10815
40.664,-73.9906,5 AV OVER   27 X PROSPECT EP,3.0,10717
40.8702,-73.8458,GUN HILL ROAD OVER NYCT DYRE AVE,2.0,10717
40.7156,-74.0159,BATTERY PARK CITY LIBRARY,1.0,10611
40.6987,-73.9179,HEISSER TRIANGLE,3.0,10288
40.7176,-73.9578,FORNINO RESTAURANT WILLIAMSBURG,3.0,10009
40.723,-73.9881,PERETZ SQUARE,1.0,9981
40.7205,-73.9857,SCHOOL FOR GLOBAL LEADERS,1.0,9923
40.7312,-74.0077,MS 297,1.0,9870
40.745,-73.9947,JAPANESE AMERICAN UNITED CHURCH,1.0,9709
