Lat,Lon,Name,Ride.Count
40.6489,-73.7841,JFK BUILDING 245C,93628
40.7745,-73.8728,LAGUARDIA AIRPORT TERMINAL B,50455
40.7706,-73.8648,LGA - US AIRWAYS TERMINAL,40466
40.6434,-74.072,SI FERRY TRML PEDESTRIAN,39370
40.7166,-73.9614,RADEGAST HALL & BIERGARTEN,18748
40.7383,-74.0093,JANE HOTEL,16898
40.6973,-73.9318,FREEDOM TRIANGLE,15295
40.7407,-74.0079,THE STANDARD HOTEL HIGH LINE,15118
40.7543,-73.7074,KATZ WOMENS HOSPITAL AT LONG ISLAND JEWISH MEDICAL CENTER,14972
40.7209,-73.9556,MCCARREN HOTEL & POOL,13922
40.7391,-74.0049,CORPORAL JOHN A SERAVALLI PLAYGROUND,13727
40.6685,-73.9791,METHODIST HOSPITAL WESLEY HOUSE,13233
40.742,-73.9922,MANHATTAN VILLAGE ACADEMY HIGH SCHOOL,12984
40.725,-73.9991,APPLE STORE SOHO,12024
40.751,-73.9949,PENN STATION WEST END CONCOURSE,11990
40.7238,-73.9979,MUSEUM OF ICE CREAM,11757
40.7477,-74.0101,CHELSEA PIERS SKY RINK,11358
40.745,-73.9909,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,11322
40.7235,-74.0083,HUNTER COLLEGE MFA BUILDING,11276
40.7211,-73.9996,ANNE FRANK CENTER USA,11022
