Lat,Lon,Ride.Count,Name
40.7663,-73.9917,181,W 52 ST OV AMTRAK 30 ST BRANCH
40.7565,-74.0015,129,W 35 ST OV AMTRAK 30 ST BRANCH
40.711,-74.0055,109,SPRUCE STREET SCHOOL
40.7631,-73.9938,62,W 47 ST OV AMTRAK 30 ST BRANCH
40.7217,-73.9974,62,PETROSINO SQUARE
40.7599,-73.9962,58,W 42 ST OV AMTRAK 30 ST BRANCH
40.764,-73.9736,58,PULITZER FOUNTAIN
40.7522,-73.9776,55,PARK AVE VIADUCT OVER E   42 ST
40.7052,-74.0079,55,ANDAZ HOTEL WALL STREET
40.756,-73.9869,52,TIMES SQ AREA
40.7529,-73.9837,50,BRYANT PARK HOTEL
40.7093,-74.0137,49,W HOTEL DOWNTOWN
40.7744,-73.964,49,SURREY HOTEL
40.7543,-73.9768,47,PARK AVENUE SB OVER E   45 ST
40.7715,-73.9827,45,EMPIRE HOTEL
40.7626,-73.9787,45,DANDELION FOUNTAIN
40.7586,-73.9893,45,INTERCONTINENTAL HOTEL TIMES SQUARE
40.7047,-74.0094,44,QUEEN ELIZABETH II SEPTEMBER 11 GARDEN
40.7672,-73.9645,44,YURIY SHUKHEVYCH CORNER
40.722,-74.0044,43,SOHO GRAND HOTEL
