,Total Rides,7-Day Average Rides
2014-04-01,14546,14546.0
2014-04-02,17474,16010.0
2014-04-03,20701,17573.666666666668
2014-04-04,26714,19858.75
2014-04-05,19521,19791.2
2014-04-06,13445,18733.5
2014-04-07,19550,18850.14285714286
2014-04-08,16188,19084.714285714286
2014-04-09,16843,18994.571428571428
2014-04-10,20041,18900.285714285714
2014-04-11,20420,18001.14285714286
2014-04-12,18170,17808.14285714286
2014-04-13,12112,17617.714285714286
2014-04-14,12674,16635.428571428572
2014-04-15,20641,17271.571428571428
2014-04-16,17717,17396.428571428572
2014-04-17,20973,17529.571428571428
2014-04-18,18074,17194.428571428572
2014-04-19,14602,16684.714285714286
2014-04-20,11017,16528.285714285714
2014-04-21,13162,16598.0
2014-04-22,16975,16074.285714285714
2014-04-23,20346,16449.85714285714
2014-04-24,23352,16789.714285714286
2014-04-25,25095,17792.714285714286
2014-04-26,24925,19267.428571428572
2014-04-27,14677,19790.285714285714
2014-04-28,15475,20120.714285714286
2014-04-29,22835,20957.85714285714
2014-04-30,36251,23230.0
2014-05-01,23375,23233.285714285714
2014-05-02,24235,23110.428571428572
2014-05-03,22234,22726.0
2014-05-04,13918,22617.571428571428
2014-05-05,17859,22958.14285714286
2014-05-06,19300,22453.14285714286
2014-05-07,21891,20401.714285714286
2014-05-08,27513,20992.85714285714
2014-05-09,26385,21300.0
2014-05-10,22550,21345.14285714286
2014-05-11,14901,21485.571428571428
2014-05-12,17470,21430.0
2014-05-13,19498,21458.285714285714
2014-05-14,22218,21505.0
2014-05-15,26301,21331.85714285714
2014-05-16,32493,22204.428571428572
2014-05-17,22294,22167.85714285714
2014-05-18,16508,22397.428571428572
2014-05-19,18315,22518.14285714286
2014-05-20,20860,22712.714285714286
2014-05-21,23508,22897.0
2014-05-22,26802,22968.571428571428
2014-05-23,26465,22107.428571428572
2014-05-24,14651,21015.571428571428
2014-05-25,10841,20206.0
2014-05-26,10202,19047.0
2014-05-27,17004,18496.14285714286
2014-05-28,22240,18315.0
2014-05-29,24930,18047.571428571428
2014-05-30,24413,17754.428571428572
2014-05-31,21261,18698.714285714286
2014-06-01,15967,19431.0
2014-06-02,17503,20474.0
2014-06-03,22674,21284.0
2014-06-04,22831,21368.428571428572
2014-06-05,28371,21860.0
2014-06-06,24683,21898.571428571428
2014-06-07,20889,21845.428571428572
2014-06-08,15749,21814.285714285714
2014-06-09,23244,22634.428571428572
2014-06-10,22874,22663.0
2014-06-11,25716,23075.14285714286
2014-06-12,29844,23285.571428571428
2014-06-13,31207,24217.571428571428
2014-06-14,19327,23994.428571428572
2014-06-15,14511,23817.571428571428
2014-06-16,17778,23036.714285714286
2014-06-17,21807,22884.285714285714
2014-06-18,24647,22731.571428571428
2014-06-19,28594,22553.0
2014-06-20,24271,21562.14285714286
2014-06-21,19940,21649.714285714286
2014-06-22,16322,21908.428571428572
2014-06-23,17735,21902.285714285714
2014-06-24,20779,21755.428571428572
2014-06-25,26460,22014.428571428572
2014-06-26,28516,22003.285714285714
2014-06-27,24895,22092.428571428572
2014-06-28,21208,22273.571428571428
2014-06-29,17107,22385.714285714286
2014-06-30,18395,22480.0
2014-07-01,21228,22544.14285714286
2014-07-02,26480,22547.0
2014-07-03,21597,21558.571428571428
2014-07-04,14148,20023.285714285714
2014-07-05,10890,18549.285714285714
2014-07-06,11443,17740.14285714286
2014-07-07,18280,17723.714285714286
2014-07-08,25763,18371.571428571428
2014-07-09,27817,18562.571428571428
2014-07-10,30541,19840.285714285714
2014-07-11,28752,21926.571428571428
2014-07-12,25936,24076.0
2014-07-13,21082,25453.0
2014-07-14,27350,26748.714285714286
2014-07-15,33845,27903.285714285714
2014-07-16,28607,28016.14285714286
2014-07-17,30710,28040.285714285714
2014-07-18,29860,28198.571428571428
2014-07-19,25726,28168.571428571428
2014-07-20,21212,28187.14285714286
2014-07-21,23578,27648.285714285714
2014-07-22,29029,26960.285714285714
2014-07-23,34073,27741.14285714286
2014-07-24,32050,27932.571428571428
2014-07-25,29975,27949.0
2014-07-26,27708,28232.14285714286
2014-07-27,22590,28429.0
2014-07-28,23981,28486.571428571428
2014-07-29,27589,28280.85714285714
2014-07-30,30740,27804.714285714286
2014-07-31,33541,28017.714285714286
2014-08-01,32353,28357.428571428572
2014-08-02,28678,28496.0
2014-08-03,23146,28575.428571428572
2014-08-04,24952,28714.14285714286
2014-08-05,28094,28786.285714285714
2014-08-06,30495,28751.285714285714
2014-08-07,32759,28639.571428571428
2014-08-08,30411,28362.14285714286
2014-08-09,26286,28020.428571428572
2014-08-10,20584,27654.428571428572
2014-08-11,22632,27323.0
2014-08-12,29646,27544.714285714286
2014-08-13,29788,27443.714285714286
2014-08-14,30457,27114.85714285714
2014-08-15,28974,26909.571428571428
2014-08-16,26234,26902.14285714286
2014-08-17,21209,26991.428571428572
2014-08-18,21956,26894.85714285714
2014-08-19,24834,26207.428571428572
2014-08-20,27955,25945.571428571428
2014-08-21,32304,26209.428571428572
2014-08-22,29512,26286.285714285714
2014-08-23,27097,26409.571428571428
2014-08-24,22036,26527.714285714286
2014-08-25,22093,26547.285714285714
2014-08-26,24550,26506.714285714286
2014-08-27,27018,26372.85714285714
2014-08-28,28597,25843.285714285714
2014-08-29,27424,25545.0
2014-08-30,23930,25092.571428571428
2014-08-31,23271,25269.0
2014-09-01,19961,24964.428571428572
2014-09-02,28831,25576.0
2014-09-03,32631,26377.85714285714
2014-09-04,38360,27772.571428571428
2014-09-05,42319,29900.428571428572
2014-09-06,40520,32270.428571428572
2014-09-07,30134,33250.857142857145
2014-09-08,30360,34736.42857142857
2014-09-09,34560,35554.857142857145
2014-09-10,35910,36023.28571428572
2014-09-11,36439,35748.857142857145
2014-09-12,39540,35351.857142857145
2014-09-13,43205,35735.42857142857
2014-09-14,28122,35448.0
2014-09-15,29454,35318.57142857143
2014-09-16,36092,35537.42857142857
2014-09-17,35531,35483.28571428572
2014-09-18,40274,36031.142857142855
2014-09-19,41017,36242.142857142855
2014-09-20,38864,35622.0
2014-09-21,28620,35693.142857142855
2014-09-22,28312,35530.0
2014-09-23,30316,34704.857142857145
2014-09-24,31301,34100.57142857143
2014-09-25,38203,33804.71428571428
2014-09-26,37504,33302.857142857145
2014-09-27,39468,33389.142857142855
2014-09-28,29656,33537.142857142855
2014-09-29,29201,33664.142857142855
2014-09-30,33431,34109.142857142855
