Date,Shifted Date,Total Rides,7-Day Average Rides,Statewide,Upstate,Downstate,NYC
2014-04-01,2014-04-07,14546,14546.0,374.3,373.2,375.4,359.4
2014-04-02,2014-04-07,17474,16010.0,374.3,373.2,375.4,359.4
2014-04-03,2014-04-07,20701,17573.666666666668,374.3,373.2,375.4,359.4
2014-04-04,2014-04-07,26714,19858.75,374.3,373.2,375.4,359.4
2014-04-05,2014-04-07,19521,19791.2,374.3,373.2,375.4,359.4
2014-04-06,2014-04-07,13445,18733.5,374.3,373.2,375.4,359.4
2014-04-07,2014-04-07,19550,18850.14285714286,374.3,373.2,375.4,359.4
2014-04-08,2014-04-14,16188,19084.714285714286,375.3,375.0,375.6,360.3
2014-04-09,2014-04-14,16843,18994.571428571428,375.3,375.0,375.6,360.3
2014-04-10,2014-04-14,20041,18900.285714285717,375.3,375.0,375.6,360.3
2014-04-11,2014-04-14,20420,18001.14285714286,375.3,375.0,375.6,360.3
2014-04-12,2014-04-14,18170,17808.14285714286,375.3,375.0,375.6,360.3
2014-04-13,2014-04-14,12112,17617.714285714286,375.3,375.0,375.6,360.3
2014-04-14,2014-04-14,12674,16635.428571428572,375.3,375.0,375.6,360.3
2014-04-15,2014-04-21,20641,17271.571428571428,381.2,380.4,381.9,368.1
2014-04-16,2014-04-21,17717,17396.428571428572,381.2,380.4,381.9,368.1
2014-04-17,2014-04-21,20973,17529.571428571428,381.2,380.4,381.9,368.1
2014-04-18,2014-04-21,18074,17194.428571428572,381.2,380.4,381.9,368.1
2014-04-19,2014-04-21,14602,16684.714285714286,381.2,380.4,381.9,368.1
2014-04-20,2014-04-21,11017,16528.285714285714,381.2,380.4,381.9,368.1
2014-04-21,2014-04-21,13162,16598.0,381.2,380.4,381.9,368.1
2014-04-22,2014-04-28,16975,16074.285714285714,388.7,383.4,393.6,377.5
2014-04-23,2014-04-28,20346,16449.85714285714,388.7,383.4,393.6,377.5
2014-04-24,2014-04-28,23352,16789.714285714286,388.7,383.4,393.6,377.5
2014-04-25,2014-04-28,25095,17792.714285714286,388.7,383.4,393.6,377.5
2014-04-26,2014-04-28,24925,19267.42857142857,388.7,383.4,393.6,377.5
2014-04-27,2014-04-28,14677,19790.285714285717,388.7,383.4,393.6,377.5
2014-04-28,2014-04-28,15475,20120.714285714286,388.7,383.4,393.6,377.5
2014-04-29,2014-05-05,22835,20957.85714285714,388.6,384.4,392.5,375.3
2014-04-30,2014-05-05,36251,23230.0,388.6,384.4,392.5,375.3
2014-05-01,2014-05-05,23375,23233.285714285717,388.6,384.4,392.5,375.3
2014-05-02,2014-05-05,24235,23110.42857142857,388.6,384.4,392.5,375.3
2014-05-03,2014-05-05,22234,22726.0,388.6,384.4,392.5,375.3
2014-05-04,2014-05-05,13918,22617.571428571428,388.6,384.4,392.5,375.3
2014-05-05,2014-05-05,17859,22958.14285714286,388.6,384.4,392.5,375.3
2014-05-06,2014-05-12,19300,22453.14285714286,387.2,383.6,390.5,373.2
2014-05-07,2014-05-12,21891,20401.714285714286,387.2,383.6,390.5,373.2
2014-05-08,2014-05-12,27513,20992.85714285714,387.2,383.6,390.5,373.2
2014-05-09,2014-05-12,26385,21300.0,387.2,383.6,390.5,373.2
2014-05-10,2014-05-12,22550,21345.14285714286,387.2,383.6,390.5,373.2
2014-05-11,2014-05-12,14901,21485.571428571428,387.2,383.6,390.5,373.2
2014-05-12,2014-05-12,17470,21430.0,387.2,383.6,390.5,373.2
2014-05-13,2014-05-19,19498,21458.285714285717,384.2,381.2,386.9,371.2
2014-05-14,2014-05-19,22218,21505.0,384.2,381.2,386.9,371.2
2014-05-15,2014-05-19,26301,21331.85714285714,384.2,381.2,386.9,371.2
2014-05-16,2014-05-19,32493,22204.42857142857,384.2,381.2,386.9,371.2
2014-05-17,2014-05-19,22294,22167.85714285714,384.2,381.2,386.9,371.2
2014-05-18,2014-05-19,16508,22397.42857142857,384.2,381.2,386.9,371.2
