,Statewide,Upstate,Downstate,NYC,Metric,Rides
0,374.3,373.2,375.4,359.4,Total Rides,14546.0
1,374.3,373.2,375.4,359.4,Total Rides,17474.0
2,374.3,373.2,375.4,359.4,Total Rides,20701.0
3,374.3,373.2,375.4,359.4,Total Rides,26714.0
4,374.3,373.2,375.4,359.4,Total Rides,19521.0
5,374.3,373.2,375.4,359.4,Total Rides,13445.0
6,374.3,373.2,375.4,359.4,Total Rides,19550.0
7,375.3,375.0,375.6,360.3,Total Rides,16188.0
8,375.3,375.0,375.6,360.3,Total Rides,16843.0
9,375.3,375.0,375.6,360.3,Total Rides,20041.0
10,375.3,375.0,375.6,360.3,Total Rides,20420.0
11,375.3,375.0,375.6,360.3,Total Rides,18170.0
12,375.3,375.0,375.6,360.3,Total Rides,12112.0
13,375.3,375.0,375.6,360.3,Total Rides,12674.0
14,381.2,380.4,381.9,368.1,Total Rides,20641.0
15,381.2,380.4,381.9,368.1,Total Rides,17717.0
16,381.2,380.4,381.9,368.1,Total Rides,20973.0
17,381.2,380.4,381.9,368.1,Total Rides,18074.0
18,381.2,380.4,381.9,368.1,Total Rides,14602.0
19,381.2,380.4,381.9,368.1,Total Rides,11017.0
20,381.2,380.4,381.9,368.1,Total Rides,13162.0
21,388.7,383.4,393.6,377.5,Total Rides,16975.0
22,388.7,383.4,393.6,377.5,Total Rides,20346.0
23,388.7,383.4,393.6,377.5,Total Rides,23352.0
24,388.7,383.4,393.6,377.5,Total Rides,25095.0
25,388.7,383.4,393.6,377.5,Total Rides,24925.0
26,388.7,383.4,393.6,377.5,Total Rides,14677.0
27,388.7,383.4,393.6,377.5,Total Rides,15475.0
28,388.6,384.4,392.5,375.3,Total Rides,22835.0
29,388.6,384.4,392.5,375.3,Total Rides,36251.0
30,388.6,384.4,392.5,375.3,Total Rides,23375.0
31,388.6,384.4,392.5,375.3,Total Rides,24235.0
32,388.6,384.4,392.5,375.3,Total Rides,22234.0
33,388.6,384.4,392.5,375.3,Total Rides,13918.0
34,388.6,384.4,392.5,375.3,Total Rides,17859.0
35,387.2,383.6,390.5,373.2,Total Rides,19300.0
36,387.2,383.6,390.5,373.2,Total Rides,21891.0
37,387.2,383.6,390.5,373.2,Total Rides,27513.0
38,387.2,383.6,390.5,373.2,Total Rides,26385.0
39,387.2,383.6,390.5,373.2,Total Rides,22550.0
40,387.2,383.6,390.5,373.2,Total Rides,14901.0
41,387.2,383.6,390.5,373.2,Total Rides,17470.0
42,384.2,381.2,386.9,371.2,Total Rides,19498.0
43,384.2,381.2,386.9,371.2,Total Rides,22218.0
44,384.2,381.2,386.9,371.2,Total Rides,26301.0
45,384.2,381.2,386.9,371.2,Total Rides,32493.0
46,384.2,381.2,386.9,371.2,Total Rides,22294.0
47,384.2,381.2,386.9,371.2,Total Rides,16508.0
48,384.2,381.2,386.9,371.2,Total Rides,18315.0
49,384.0,381.1,386.6,371.9,Total Rides,20860.0
50,384.0,381.1,386.6,371.9,Total Rides,23508.0
51,384.0,381.1,386.6,371.9,Total Rides,26802.0
52,384.0,381.1,386.6,371.9,Total Rides,26465.0
53,384.0,381.1,386.6,371.9,Total Rides,14651.0
54,384.0,381.1,386.6,371.9,Total Rides,10841.0
55,384.0,381.1,386.6,371.9,Total Rides,10202.0
56,383.0,378.5,387.1,372.0,Total Rides,17004.0
57,383.0,378.5,387.1,372.0,Total Rides,22240.0
58,383.0,378.5,387.1,372.0,Total Rides,24930.0
59,383.0,378.5,387.1,372.0,Total Rides,24413.0
60,383.0,378.5,387.1,372.0,Total Rides,21261.0
61,383.0,378.5,387.1,372.0,Total Rides,15967.0
62,383.0,378.5,387.1,372.0,Total Rides,17503.0
63,384.0,378.6,388.8,372.6,Total Rides,22674.0
64,384.0,378.6,388.8,372.6,Total Rides,22831.0
65,384.0,378.6,388.8,372.6,Total Rides,28371.0
66,384.0,378.6,388.8,372.6,Total Rides,24683.0
67,384.0,378.6,388.8,372.6,Total Rides,20889.0
68,384.0,378.6,388.8,372.6,Total Rides,15749.0
69,384.0,378.6,388.8,372.6,Total Rides,23244.0
70,384.0,378.9,388.7,373.8,Total Rides,22874.0
