"","Date","TotalRides","7DayAvgRides","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailyAverageWindSpeed","DailySustainedWindSpeed","DailyPeakWindSpeed","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageWetBulbTemperature","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyDepartureFromNormalAverageTemperature","DailyAverageRelativeHumidity","DailyWeather"
"1","2014-04-01",14546,14546,"0.00","0","0.0",4.7,17,24,28,50,39,60,39,2.5,47,""
"2","2014-04-02",17474,16010,"0.00","0","0.0",1.9,9,14,38,48,43,54,42,0.2,68,""
"3","2014-04-03",20701,17573.6666666667,"0.07","0","0.0",3.7,10,15,29,57,43,67,46,8.8,43,"RA"
"4","2014-04-04",26714,19858.75,"0.21","0","0.0",8.4,15,23,36,44,40,47,40,-4.6,79,"RA BR HZ"
"5","2014-04-05",19521,19791.2,"0.00","0","0.0",8.4,20,36,29,47,39,54,40,-1.9,54,"BR"
"6","2014-04-06",13445,18733.5,"0.00","0","0.0",4.2,13,18,21,49,37,61,36,-0.3,39,""
"7","2014-04-07",19550,18850.1428571429,"0.52","0","0.0",6.1,16,23,34,48,41,53,43,-1.7,66,"RA BR HZ"
"8","2014-04-08",16188,19084.7142857143,"0.34","0","0.0",6.9,17,30,42,55,48,64,46,5,65,"RA FG BR"
"9","2014-04-09",16843,18994.5714285714,"0.00","0","0.0",6.9,17,31,25,53,41,61,45,2.6,38,""
"10","2014-04-10",20041,18900.2857142857,"0.00","0","0.0",7,16,28,22,50,40,58,42,-0.8,32,""
"11","2014-04-11",20420,18001.1428571429,"0.00","0","0.0",5.9,13,22,41,66,52,75,56,14.9,46,""
"12","2014-04-12",18170,17808.1428571429,"0.00","0","0.0",4.3,14,21,36,62,49,73,50,10.5,44,""
"13","2014-04-13",12112,17617.7142857143,"0.00","0","0.0",5.7,15,23,47,66,55,77,54,14.1,55,""
"14","2014-04-14",12674,16635.4285714286,"0.00","0","0.0",7.4,17,30,53,67,59,75,59,14.8,62,""
"15","2014-04-15",20641,17271.5714285714,"0.71","0","T",8.8,17,30,49,48,51,63,33,-4.6,87,"RA SN BR"
"16","2014-04-16",17717,17396.4285714286,"0.05","0","T",7.6,16,31,17,40,32,49,31,-12.9,41,""
"17","2014-04-17",20973,17529.5714285714,"0.00","0","0.0",7.8,17,22,24,42,35,48,36,-11.3,52,""
"18","2014-04-18",18074,17194.4285714286,"0.00","0","0.0",5.4,14,20,29,42,37,49,35,-11.6,60,""
"19","2014-04-19",14602,16684.7142857143,"0.00","0","0.0",5.5,16,21,26,55,43,68,41,1,37,""
"20","2014-04-20",11017,16528.2857142857,"0.00","0","0.0",6.3,16,25,26,53,41,60,45,-1.3,40,""
"21","2014-04-21",13162,16598,"0.00","0","0.0",4.2,13,18,31,54,43,67,41,-0.7,45,""
"22","2014-04-22",16975,16074.2857142857,"0.01","0","0.0",5.5,13,21,46,61,53,71,51,6,59,"RA"
"23","2014-04-23",20346,16449.8571428571,"0.00","0","0.0",9.4,21,36,34,53,44,61,44,-2.3,50,""
"24","2014-04-24",23352,16789.7142857143,"0.00","0","0.0",8.6,18,31,15,52,38,62,42,-3.6,24,""
"25","2014-04-25",25095,17792.7142857143,"0.02","0","0.0",4.8,16,23,24,54,41,63,44,-2,36,"RA"
"26","2014-04-26",24925,19267.4285714286,"0.92","0","0.0",5.3,14,21,43,57,48,67,46,0.7,72,"RA BR"
"27","2014-04-27",14677,19790.2857142857,"0.00","0","0.0",5.9,16,22,33,53,44,59,47,-3.6,48,""
"28","2014-04-28",15475,20120.7142857143,"0.00","0","0.0",4.2,14,20,33,56,45,67,45,-0.9,45,""
"29","2014-04-29",22835,20957.8571428571,"0.03","0","0.0",9,16,26,37,48,43,52,43,-9.2,69,"RA"
"30","2014-04-30",36251,23230,"4.97","0","0.0",8.2,18,26,43,47,44,52,41,-10.5,91,"RA BR"
"31","2014-05-01",23375,23233.2857142857,"0.12","0","0.0",4.5,13,20,53,65,59,78,51,7.2,68,"RA FG BR"
"32","2014-05-02",24235,23110.4285714286,"T","0","0.0",4.4,16,26,38,63,50,70,56,4.9,44,""
